#	X(mm)	XP(mrad)	Y(mm)	YP(mrad)	Z(mm)	W(MeV)
0.299	-0.406	0.153	0.399	-87.79	71.856
-0.2	-0.026	-0.323	-0.407	318.74	71.301
0.266	-1.492	-0.158	-0.109	35.12	71.691
-0.322	1.087	-0.165	-0.29	-227.81	72.049
-0.381	0.714	0.245	0.173	-146.59	71.936
-0.019	-0.376	-0.143	0.173	-25.63	71.773
0.335	-0.301	-0.414	-0.191	-54.27	71.81
0.068	-0.869	1.01	1.08	-252.64	72.085
0.111	-0.244	0.411	0.429	-10.41	71.752
0.533	-1.687	-0.674	-0.866	-123.87	71.908
0.34	-1.359	0.841	0.955	-239.08	72.065
-0.434	0.932	0.462	0.363	-135.77	71.922
-0.043	0.16	0.593	0.276	-1.88	71.741
0.09	-0.048	-0.482	-0.874	174.03	71.501
-0.011	-0.926	-0.297	-0.281	245.86	71.402
0.305	-1.717	0.517	0.732	-60.1	71.821
-0.019	0.709	-0.1	-0.246	10.3	71.724
-0.28	0.297	0.038	-0.186	-10.88	71.751
0.558	-1.259	0.237	0.052	-172.59	71.973
0.192	0.409	-0.488	-0.477	-31.35	71.784
-0.15	1.097	-0.53	-0.842	-161.58	71.958
-0.278	1.502	0.348	0.6	-43.31	71.799
-0.085	-0.763	0.322	0.728	38.06	71.686
-0.086	-0.584	-0.072	-0.153	-202.16	72.016
0.123	-0.761	-0.388	-0.436	-115.28	71.896
0.019	0.449	0.36	0.5	281.63	71.354
0.123	0.149	0.344	0.407	-53.6	71.814
0.112	-0.494	-0.456	-0.276	-227.34	72.049
-0.065	-0.992	0.245	0.755	211.06	71.453
0.012	0.32	-0.133	-0.082	-166.47	71.968
0.449	-1.019	0.405	0.275	-154.67	71.948
0.207	0.612	-0.212	-0.41	301.3	71.328
-0.264	0.342	0.014	0.208	-31.45	71.78
-0.005	0.279	0.496	0.877	-132.38	71.918
-0.022	-0.376	0.372	0.497	-26.92	71.777
0.264	-1.305	-0.631	-0.877	-161.71	71.958
0.059	-0.133	0.239	0.576	263.85	71.377
0.171	-0.441	0.823	0.563	-106.2	71.882
-0.102	0.863	-0.698	-0.478	65.31	71.65
-0.009	0.284	0.594	0.773	-82.18	71.847
-0.15	0.534	-0.166	0.244	-40.73	71.793
0.161	0.036	1.341	1.612	-42.3	71.799
0.312	-0.342	-0.212	-0.249	-104.49	71.879
-0.234	1.724	-0.354	-0.455	-73.51	71.839
